State	District	First Name	Last Name	Party	Votes	Vote fraction	Winner
AL	01	Jo	Bonner	R	210660	0.98271	
AL	01		Scattered	W	3707	0.01729	
AL	02	Bobby	Bright	D	144368	0.50233	
AL	02	Jay	Love	R	142578	0.49611	
AL	02		Scattered	W	448	0.00156	
AL	03	Mike	Rogers	R	142708	0.54032	
AL	03	Joshua	Segall	D	121080	0.45843	
AL	03		Scattered	W	332	0.00126	
AL	04	Robert	Aderholt	R	196741	0.74759	
AL	04	Nicholas B.	Sparks	D	66077	0.25108	
AL	04		Scattered	W	349	0.00133	
AL	05	Parker	Griffith	D	158324	0.51524	
AL	05	Wayne	Parker	R	147314	0.47941	
AL	05		Scattered	W	1644	0.00535	
AL	06	Spencer	Bachus	R	280902	0.97795	
AL	06		Scattered	W	6335	0.02205	
AL	07	Artur	Davis	D	228518	0.98626	
AL	07		Scattered	W	3183	0.01374	
AL	S	Jeff	Sessions	R	1305383	0.63362	
AL	S	Vivian Davis	Figures	D	752391	0.36520	
AL	S		Scattered	W	2417	0.00117	
AK	00	Don E.	Young	R	158939	0.50142	
AK	00	Ethan A.	Berkowitz	D	142560	0.44975	
AK	00	Don R.	Wright	AKI	14274	0.04503	
AK	00		Scattered	W	1205	0.00380	
AK	S	Mark	Begich	D	151767	0.47767	
AK	S	Ted	Stevens	R	147814	0.46523	
AK	S	Bob	Bird	AKI	13197	0.04154	
AK	S	Fredrick D. "David"	Haase	LBT	2483	0.00781	
AK	S	Ted	Gianoutsos	NNE	1385	0.00436	
AK	S		Scattered	W	1077	0.00339	
AS	00	Eni F. H.	Faleomavaega	D	7499	0.60383	
AS	00	Rosie F. Tago	Lancaster	I	570	0.04590	
AS	00	Aumua	Amata	R	4350	0.35027	
AZ	01	Ann	Kirkpatrick	D	155791	0.55882	
AZ	01	Sydney	Hay	R	109924	0.39429	
AZ	01	Brent	Maupin	I	9394	0.03370	
AZ	01	Thane	Eichenauer	W(LBT)/LBT	3678	0.01319	
AZ	02	Trent	Franks	R	200914	0.59438	
AZ	02	John	Thrasher	D	125611	0.37160	
AZ	02	Powell	Gammill	LBT	7882	0.02332	
AZ	02	William	Crum	GRE	3616	0.01070	
AZ	03	John	Shadegg	R	148800	0.54077	
AZ	03	Bob	Lord	D	115759	0.42070	
AZ	03	Michael	Shoen	LBT	10602	0.03853	
AZ	04	Ed	Pastor	D	89721	0.72107	
AZ	04	Don	Karg	R	26435	0.21245	
AZ	04	Rebecca	DeWitt	GRE	4464	0.03588	
AZ	04	Joe	Cobb	LBT	3807	0.03060	
AZ	05	Harry	Mitchell	D	149033	0.53157	
AZ	05	David	Schweikert	R	122165	0.43574	
AZ	05	Warren	Severin	LBT	9158	0.03266	
AZ	05	Ralph	Hughes	W	9	0.00003	
AZ	06	Jeff	Flake	R	208582	0.62417	
AZ	06	Rebecca	Schneider	D	115457	0.34550	
AZ	06	Rick	Biondi	LBT	10137	0.03033	
AZ	07	Raúl	Grijalva	D	124304	0.63263	
AZ	07	Joseph	Sweeney	R	64425	0.32788	
AZ	07	Raymond Patrick	Petrulsky	W(LBT)/LBT	7755	0.03947	
AZ	07	Harley	Meyer	W	5	0.00003	
AZ	08	Gabrielle	Giffords	D	179629	0.54721	
AZ	08	Tim	Bee	R	140553	0.42817	
AZ	08	Paul	Davis	W(LBT)/W	8081	0.02462	
AZ	08	Paul	Price	W	3	0.00001	
AR	02	Vic	Snyder	D	212303	0.76543	
AR	02	Deb	McFarland	GRE	64398	0.23218	
AR	02	Danial	Suits	W	665	0.00240	
AR	03	John	Boozman	R	215196	0.78526	
AR	03	Abel Noah	Tomlinson	GRE	58850	0.21474	
AR	04	Mike	Ross	D	203178	0.86172	
AR	04	Joshua	Drake	GRE	32603	0.13828	
AR	S	Mark	Pryor	D	804678	0.79533	
AR	S	Rebekah	Kennedy	GRE	207076	0.20467	
CA	01	Mike	Thompson	D	197812	0.68100	
CA	01	Zane	Starkewolf	R	67853	0.23360	
CA	01	Carol	Wolman	GRE	24793	0.08535	
CA	01	Pamela	Elizondo	W	14	0.00005	
CA	02	Wally	Herger	R	163459	0.57895	
CA	02	Jeff	Morris	D	118878	0.42105	
CA	03	Dan	Lungren	R	155424	0.49491	
CA	03	William	Durston	D	137971	0.43933	
CA	03	Dina J.	Padilla	PAF	13378	0.04260	
CA	03	Douglas Arthur	Tuma	LBT	7273	0.02316	
CA	04	Tom	McClintock	R	185790	0.50243	
CA	04	Charlie	Brown	D	183990	0.49757	
CA	05	Doris	Matsui	D	164242	0.74266	
CA	05	Paul A.	Smith	R	46002	0.20801	
CA	05	L. R.	Roberts	PAF	10731	0.04852	
CA	05	David B.	Lynch	W	180	0.00081	
CA	06	Lynn	Woolsey	D	229672	0.71691	
CA	06	Michael	Halliwell	R	77073	0.24058	
CA	06	Joel R.	Smolen	LBT	13617	0.04251	
CA	07	George	Miller	D	170962	0.72820	
CA	07	Roger Allen	Petersen	R	51166	0.21794	
CA	07	Bill	Callison	PAF	6695	0.02852	
CA	07	Camden	McConnell	LBT	5950	0.02534	
CA	08	Nancy	Pelosi	D	204996	0.71866	
CA	08	Cindy	Sheehan	I	46118	0.16168	
CA	08	Dana	Walsh	R	27614	0.09681	
CA	08	Philip Z.	Berg	LBT	6504	0.02280	
CA	08	Lea	Sherman	W	11	0.00004	
CA	08	Michelle Wong	Clay	W	4	0.00001	
CA	09	Barbara	Lee	D	238915	0.86064	
CA	09	Charles	Hargrave	R	26917	0.09696	
CA	09	James M.	Eyer	LBT	11704	0.04216	
CA	09	David	Heller	W	37	0.00013	
CA	09	Christopher	Kula	W	27	0.00010	
CA	10	Ellen O.	Tauscher	D	192226	0.65125	
CA	10	Nicholas	Gerber	R	91877	0.31127	
CA	10	Eugene E.	Ruyle	PAF	11062	0.03748	
CA	11	Jerry	McNerney	D	164500	0.55273	
CA	11	Dean	Andal	R	133104	0.44723	
CA	11	David	Christensen	W	12	0.00004	
CA	12	Jackie	Speier	D	200442	0.75113	
CA	12	Greg	Conlon	R	49258	0.18459	
CA	12	Nathalie	Hrizi	PAF	5793	0.02171	
CA	12	Barry	Hermanson	GRE	5776	0.02164	
CA	12	Kevin Dempsey	Peterson	LBT	5584	0.02093	
CA	13	Fortney	Stark	D	166829	0.76430	
CA	13	Raymond	Chui	R	51447	0.23570	
CA	14	Anna G.	Eshoo	D	190301	0.69767	
CA	14	Ronny	Santana	R	60610	0.22221	
CA	14	Brian	Holtz	LBT	11929	0.04373	
CA	14	Carol	Brouillet	GRE	9926	0.03639	
CA	15	Mike	Honda	D	170977	0.71662	
CA	15	Joyce Stoer	Cordi	R	55489	0.23257	
CA	15	Peter	Myers	GRE	12123	0.05081	
CA	16	Zoe	Lofgren	D	146481	0.71340	
CA	16	Charel	Winston	R	49399	0.24059	
CA	16	Steven	Wells	LBT	9447	0.04601	
CA	17	Sam	Farr	D	168907	0.73879	
CA	17	Jeff	Taylor	R	59037	0.25823	
CA	17	Peter	Andresen	W	682	0.00298	
CA	18	Dennis A.	Cardoza	D	130192	1.00000	
CA	19	George P.	Radanovich	R	179245	0.98432	
CA	19	Peter	Leinau	W	2490	0.01367	
CA	19	Phil	Rockey	W	366	0.00201	
CA	20	Jim	Costa	D	93023	0.74335	
CA	20	Jim	Lopez	R	32118	0.25665	
CA	21	Devin G.	Nunes	R	143498	0.68393	
CA	21	Larry	Johnson	D	66317	0.31607	
CA	22	Kevin	McCarthy	R	224549	1.00000	
CA	23	Lois	Capps	D	171403	0.68074	
CA	23	Matt T.	Kokkonen	R	80385	0.31926	
CA	24	Elton	Gallegly	R	174492	0.58154	
CA	24	Marta Ann	Jorgensen	D	125560	0.41846	
CA	25	Howard P. "Buck"	McKeon	R	144660	0.57728	
CA	25	Jackie	Conaway	D	105929	0.42272	
CA	26	David	Dreier	R	140615	0.52639	
CA	26	Russ	Warner	D	108039	0.40444	
CA	26	Ted	Brown	LBT	18476	0.06916	
CA	27	Brad	Sherman	D	145812	0.68509	
CA	27	Navraj	Singh	R	52852	0.24832	
CA	27	Tim	Denton	LBT	14171	0.06658	
CA	28	Howard L.	Berman	D	137471	0.99891	
CA	28	Michael J.	Koch	W	150	0.00109	
CA	29	Adam B.	Schiff	D	146198	0.68915	
CA	29	Charles	Hahn	R	56727	0.26740	
CA	29	Alan	Pyeatt	LBT	9219	0.04346	
CA	30	Henry A.	Waxman	D	242792	1.00000	
CA	31	Xavier	Becerra	D	110955	1.00000	
CA	32	Hilda L.	Solis	D	130142	0.99994	
CA	32	Innocent O.	Osunwa	W	8	0.00006	
CA	33	Diane E.	Watson	D	186924	0.87569	
CA	33	David C., II	Crowley	R	26536	0.12431	
CA	34	Lucille	Roybal-Allard	D	98503	0.77095	
CA	34	Christopher	Balding	R	29266	0.22905	
CA	35	Maxine	Waters	D	150778	0.82582	
CA	35	Ted	Hayes	R	24169	0.13238	
CA	35	Herb	Peters	LBT	7632	0.04180	
CA	36	Jane	Harman	D	171948	0.68644	
